cloud_service_id,processor_manufacturer,vcpu_memgb_ratio,gCO2eq24hs,cloud_provider_id,category,vcpu,architecture,daily_price,memory_gb,network,clock_speed_ghz,graviton_suggestion,instance_id,memgb_vcpu_ratio,gpu
aws-ec2,intel,0.5,4691.4,aws,compute,48,x86_64,55.3,96,12 Gigabit,3,c6gd.12xlarge,c5d.12xlarge,2,0
aws-ec2,intel,0.5,6796.2,aws,compute,72,x86_64,82.94,144,25 Gigabit,3,c6gd.18xlarge,c5d.18xlarge,2,0
aws-ec2,intel,0.5,9386.5,aws,compute,96,x86_64,110.59,192,25 Gigabit,3,c6gd.24xlarge,c5d.24xlarge,2,0
aws-ec2,intel,0.5,755.8,aws,compute,8,x86_64,9.22,16,Up to 10 Gigabit,3,c6gd.2xlarge,c5d.2xlarge,2,0
aws-ec2,intel,0.5,1509.2,aws,compute,16,x86_64,18.43,32,Up to 10 Gigabit,3,c6gd.4xlarge,c5d.4xlarge,2,0
aws-ec2,intel,0.5,3396.9,aws,compute,36,x86_64,41.47,72,10 Gigabit,3,c6gd.9xlarge,c5d.9xlarge,2,0
aws-ec2,intel,0.5,188.1,aws,compute,2,x86_64,2.3,4,Up to 10 Gigabit,3,c6gd.large,c5d.large,2,0
aws-ec2,intel,0.5,,aws,compute,96,x86_64,110.59,192,25 Gigabit,3,no_equivalent,c5d.metal,2,0
aws-ec2,intel,0.5,378.5,aws,compute,4,x86_64,4.61,8,Up to 10 Gigabit,3,c6gd.xlarge,c5d.xlarge,2,0
aws-ec2,intel,0.375,7012.7,aws,compute,72,x86_64,93.31,192,100 Gigabit,3,c6gn.18xlarge,c5n.18xlarge,2.6666666666666665,0
aws-ec2,intel,0.38095238095238093,776.1,aws,compute,8,x86_64,10.37,21,Up to 25 Gigabit,3,c6gn.2xlarge,c5n.2xlarge,2.625,0
aws-ec2,intel,0.38095238095238093,1552.2,aws,compute,16,x86_64,20.74,42,Up to 25 Gigabit,3,c6gn.4xlarge,c5n.4xlarge,2.625,0
aws-ec2,intel,0.375,3504.5,aws,compute,36,x86_64,46.66,96,50 Gigabit,3,c6gn.9xlarge,c5n.9xlarge,2.6666666666666665,0
aws-ec2,intel,0.38095238095238093,194,aws,compute,2,x86_64,2.59,5.25,Up to 25 Gigabit,3,c6gn.large,c5n.large,2.625,0
aws-ec2,intel,0.375,,aws,compute,72,x86_64,93.31,192,100 Gigabit,3,no_equivalent,c5n.metal,2.6666666666666665,0
aws-ec2,intel,0.38095238095238093,389.3,aws,compute,4,x86_64,5.18,10.5,Up to 25 Gigabit,3,c6gn.xlarge,c5n.xlarge,2.625,0
aws-ec2,graviton,0.5,2344.6,aws,compute,48,arm64,39.17,96,20 Gigabit,2.5,,c6g.12xlarge,2,0
aws-ec2,graviton,0.5,3124.5,aws,compute,64,arm64,52.22,128,25 Gigabit,2.5,,c6g.16xlarge,2,0
aws-ec2,graviton,0.5,391.8,aws,compute,8,arm64,6.53,16,Up to 10 Gigabit,2.5,,c6g.2xlarge,2,0
aws-ec2,graviton,0.5,782.3,aws,compute,16,arm64,13.06,32,Up to 10 Gigabit,2.5,,c6g.4xlarge,2,0
aws-ec2,graviton,0.5,1562.3,aws,compute,32,arm64,26.11,64,12 Gigabit,2.5,,c6g.8xlarge,2,0
aws-ec2,graviton,0.5,97,aws,compute,2,arm64,1.63,4,Up to 10 Gigabit,2.5,,c6g.large,2,0
aws-ec2,graviton,0.5,47.9,aws,compute,1,arm64,0.82,2,Up to 10 Gigabit,2.5,,c6g.medium,2,0
aws-ec2,graviton,0.5,,aws,compute,64,arm64,52.22,128,25 Gigabit,2.5,,c6g.metal,2,0
aws-ec2,graviton,0.5,195.3,aws,compute,4,arm64,3.26,8,Up to 10 Gigabit,2.5,,c6g.xlarge,2,0
aws-ec2,graviton,0.5,2447.8,aws,compute,48,arm64,44.24,96,20 Gigabit,2.5,,c6gd.12xlarge,2,0
aws-ec2,graviton,0.5,3263.7,aws,compute,64,arm64,58.98,128,25 Gigabit,2.5,,c6gd.16xlarge,2,0
aws-ec2,graviton,0.5,408.6,aws,compute,8,arm64,7.37,16,Up to 10 Gigabit,2.5,,c6gd.2xlarge,2,0
aws-ec2,graviton,0.5,815.9,aws,compute,16,arm64,14.75,32,Up to 10 Gigabit,2.5,,c6gd.4xlarge,2,0
aws-ec2,graviton,0.5,1631.9,aws,compute,32,arm64,29.49,64,12 Gigabit,2.5,,c6gd.8xlarge,2,0
aws-ec2,graviton,0.5,101.8,aws,compute,2,arm64,1.84,4,Up to 10 Gigabit,2.5,,c6gd.large,2,0
aws-ec2,graviton,0.5,50.3,aws,compute,1,arm64,0.92,2,Up to 10 Gigabit,2.5,,c6gd.medium,2,0
aws-ec2,graviton,0.5,,aws,compute,64,arm64,58.98,128,25 Gigabit,2.5,,c6gd.metal,2,0
aws-ec2,graviton,0.5,204.9,aws,compute,4,arm64,3.69,8,Up to 10 Gigabit,2.5,,c6gd.xlarge,2,0
aws-ec2,graviton,0.5,2344.6,aws,compute,48,arm64,49.77,96,75 Gigabit,2.5,,c6gn.12xlarge,2,0
aws-ec2,graviton,0.5,3124.5,aws,compute,64,arm64,66.36,128,100 Gigabit,2.5,,c6gn.16xlarge,2,0
aws-ec2,graviton,0.5,391.8,aws,compute,8,arm64,8.29,16,Up to 25 Gigabit,2.5,,c6gn.2xlarge,2,0
aws-ec2,graviton,0.5,782.3,aws,compute,16,arm64,16.59,32,Up to 25 Gigabit,2.5,,c6gn.4xlarge,2,0
aws-ec2,graviton,0.5,1562.3,aws,compute,32,arm64,33.18,64,50 Gigabit,2.5,,c6gn.8xlarge,2,0
aws-ec2,graviton,0.5,97,aws,compute,2,arm64,2.07,4,Up to 25 Gigabit,2.5,,c6gn.large,2,0
aws-ec2,graviton,0.5,47.9,aws,compute,1,arm64,1.04,2,Up to 25 Gigabit,2.5,,c6gn.medium,2,0
aws-ec2,graviton,0.5,195.3,aws,compute,4,arm64,4.15,8,Up to 25 Gigabit,2.5,,c6gn.xlarge,2,0
aws-ec2,intel,0.5289256198347108,3875.9,aws,compute,32,x86_64,48,60.5,10 Gigabit,2.6,no_equivalent,cc2.8xlarge,1.890625,0
aws-ec2,intel,0.13114754098360656,4793.2,aws,compute,32,x86_64,84,244,10 Gigabit,,no_equivalent,cr1.8xlarge,7.625,0
aws-ec2,intel,0.13114754098360656,1029.2,aws,compute,8,x86_64,33.12,61,High,2.4,no_equivalent,d2.2xlarge,7.625,0
aws-ec2,intel,0.13114754098360656,2059.6,aws,compute,16,x86_64,66.24,122,High,2.4,no_equivalent,d2.4xlarge,7.625,0
aws-ec2,intel,0.14754098360655737,4489.5,aws,compute,36,x86_64,132.48,244,10 Gigabit,2.4,no_equivalent,d2.8xlarge,6.777777777777778,0
aws-ec2,intel,0.13114754098360656,515.2,aws,compute,4,x86_64,16.56,30.5,Moderate,2.4,no_equivalent,d2.xlarge,7.625,0
aws-ec2,intel,0.125,894.8,aws,compute,8,x86_64,23.98,64,Up to 15 Gigabit,3.1,no_equivalent,d3.2xlarge,8,0
aws-ec2,intel,0.125,1790.7,aws,compute,16,x86_64,47.95,128,Up to 15 Gigabit,3.1,no_equivalent,d3.4xlarge,8,0
aws-ec2,intel,0.125,3581.5,aws,compute,32,x86_64,95.89,256,25 Gigabit,3.1,no_equivalent,d3.8xlarge,8,0
aws-ec2,intel,0.125,448,aws,compute,4,x86_64,11.98,32,Up to 15 Gigabit,3.1,no_equivalent,d3.xlarge,8,0
aws-ec2,intel,0.25,4282.5,aws,compute,48,x86_64,151.41,192,75 Gigabit,3.1,no_equivalent,d3en.12xlarge,4,0
aws-ec2,intel,0.25,712.8,aws,compute,8,x86_64,25.22,32,Up to 25 Gigabit,3.1,no_equivalent,d3en.2xlarge,4,0
aws-ec2,intel,0.25,1427.9,aws,compute,16,x86_64,50.47,64,25 Gigabit,3.1,no_equivalent,d3en.4xlarge,4,0
aws-ec2,intel,0.25,2141.9,aws,compute,24,x86_64,75.7,96,40 Gigabit,3.1,no_equivalent,d3en.6xlarge,4,0
aws-ec2,intel,0.25,2854.6,aws,compute,32,x86_64,100.94,128,50 Gigabit,3.1,no_equivalent,d3en.8xlarge,4,0
aws-ec2,intel,0.25,358.2,aws,compute,4,x86_64,12.62,16,Up to 25 Gigabit,3.1,no_equivalent,d3en.xlarge,4,0
,,,4177.5,aws,,,,,,,,,dc2.8xlarge,,
,,,258.8,aws,,,,,,,,,dc2.large,,
,,,4071.9,aws,,,,,,,,,ds2.8xlarge,,
,,,472,aws,,,,,,,,,ds2.xlarge,,
aws-ec2,intel,0.06557377049180328,9224.8,aws,compute,64,x86_64,316.8,976,25 Gigabit,2.3,no_equivalent,f1.16xlarge,15.25,0
aws-ec2,intel,0.06557377049180328,1153.5,aws,compute,8,x86_64,39.6,122,Up to 10 Gigabit,2.3,no_equivalent,f1.2xlarge,15.25,0
aws-ec2,intel,0.06557377049180328,2305.9,aws,compute,16,x86_64,79.2,244,Up to 10 Gigabit,2.3,no_equivalent,f1.4xlarge,15.25,0
aws-ec2,intel,0.5333333333333333,3064.8,aws,compute,8,x86_64,15.6,15,Moderate,2.6,no_equivalent,g2.2xlarge,1.875,1
aws-ec2,intel,0.5333333333333333,12255.7,aws,compute,32,x86_64,62.4,60,High,2.6,no_equivalent,g2.8xlarge,1.875,4
aws-ec2,intel,0.13114754098360656,17403.4,aws,compute,64,x86_64,109.44,488,25 Gigabit,2.3,no_equivalent,g3.16xlarge,7.625,4
aws-ec2,intel,0.13114754098360656,4349.7,aws,compute,16,x86_64,27.36,122,Up to 10 Gigabit,2.3,no_equivalent,g3.4xlarge,7.625,1
aws-ec2,intel,0.13114754098360656,8701.7,aws,compute,32,x86_64,54.72,244,10 Gigabit,2.3,no_equivalent,g3.8xlarge,7.625,2
aws-ec2,intel,0.13114754098360656,3114.6,aws,compute,4,x86_64,18,30.5,Up to 10 Gigabit,2.3,no_equivalent,g3s.xlarge,7.625,1
aws-ec2,amd,0.25,12531.7,aws,compute,64,x86_64,83.23,256,25 Gigabit,2.8,no_equivalent,g4ad.16xlarge,4,4
aws-ec2,amd,0.25,3131.7,aws,compute,16,x86_64,20.81,64,Up to 10 Gigabit,2.8,no_equivalent,g4ad.4xlarge,4,1
aws-ec2,amd,0.25,6265.8,aws,compute,32,x86_64,41.62,128,15 Gigabit,2.8,no_equivalent,g4ad.8xlarge,4,2
aws-ec2,intel,0.25,6967.4,aws,compute,48,x86_64,93.89,192,50 Gigabit,2.5,no_equivalent,g4dn.12xlarge,4,4
aws-ec2,intel,0.25,6557.5,aws,compute,64,x86_64,104.45,256,50 Gigabit,2.5,no_equivalent,g4dn.16xlarge,4,1
aws-ec2,intel,0.25,1372.6,aws,compute,8,x86_64,18.05,32,Up to 25 Gigabit,2.5,no_equivalent,g4dn.2xlarge,4,1
aws-ec2,intel,0.25,2111.7,aws,compute,16,x86_64,28.9,64,Up to 25 Gigabit,2.5,no_equivalent,g4dn.4xlarge,4,1
aws-ec2,intel,0.25,3592.4,aws,compute,32,x86_64,52.22,128,50 Gigabit,2.5,no_equivalent,g4dn.8xlarge,4,1
aws-ec2,intel,0.25,,aws,compute,96,x86_64,187.78,384,100 Gigabit,2.5,no_equivalent,g4dn.metal,4,8
aws-ec2,intel,0.25,1000,aws,compute,4,x86_64,12.62,16,Up to 25 Gigabit,2.5,no_equivalent,g4dn.xlarge,4,1
aws-ec2,intel,0.25,5654,aws,compute,64,x86_64,89.86,256,25 Gigabit,2.3,no_equivalent,h1.16xlarge,4,0
aws-ec2,intel,0.25,708.1,aws,compute,8,x86_64,11.23,32,Up to 10 Gigabit,2.3,no_equivalent,h1.2xlarge,4,0
aws-ec2,intel,0.25,1412.6,aws,compute,16,x86_64,22.46,64,Up to 10 Gigabit,2.3,no_equivalent,h1.4xlarge,4,0
aws-ec2,intel,0.25,2828.8,aws,compute,32,x86_64,44.93,128,10 Gigabit,2.3,no_equivalent,h1.8xlarge,4,0
aws-ec2,intel,0.13675213675213677,2720,aws,compute,16,x86_64,110.4,117,10 Gigabit,2,no_equivalent,hs1.8xlarge,7.3125,0
aws-ec2,intel,0.13114754098360656,1099.9,aws,compute,8,x86_64,40.92,61,High,2.5,no_equivalent,i2.2xlarge,7.625,0
aws-ec2,intel,0.13114754098360656,2202.1,aws,compute,16,x86_64,81.84,122,High,2.5,no_equivalent,i2.4xlarge,7.625,0
aws-ec2,intel,0.13114754098360656,4400.7,aws,compute,32,x86_64,163.68,244,10 Gigabit,2.5,no_equivalent,i2.8xlarge,7.625,0
aws-ec2,intel,0.13114754098360656,549.9,aws,compute,4,x86_64,20.47,30.5,Moderate,2.5,no_equivalent,i2.xlarge,7.625,0
aws-ec2,intel,0.13114754098360656,6738.7,aws,compute,64,x86_64,119.81,488,25 Gigabit,2.3,no_equivalent,i3.16xlarge,7.625,0
aws-ec2,intel,0.13114754098360656,842.2,aws,compute,8,x86_64,14.98,61,Up to 10 Gigabit,2.3,no_equivalent,i3.2xlarge,7.625,0
aws-ec2,intel,0.13114754098360656,1683.2,aws,compute,16,x86_64,29.95,122,Up to 10 Gigabit,2.3,no_equivalent,i3.4xlarge,7.625,0
aws-ec2,intel,0.13114754098360656,3370,aws,compute,32,x86_64,59.9,244,10 Gigabit,2.3,no_equivalent,i3.8xlarge,7.625,0
aws-ec2,intel,0.13114754098360656,210.8,aws,compute,2,x86_64,3.74,15.25,Up to 10 Gigabit,2.3,no_equivalent,i3.large,7.625,0
aws-ec2,intel,0.125,,aws,compute,64,x86_64,119.81,512,25 Gigabit,2.3,no_equivalent,i3.metal,8,0
aws-ec2,intel,0.13114754098360656,421.7,aws,compute,4,x86_64,7.49,30.5,Up to 10 Gigabit,2.3,no_equivalent,i3.xlarge,7.625,0
aws-ec2,intel,0.125,6506.4,aws,compute,48,x86_64,130.18,384,50 Gigabit,3.1,no_equivalent,i3en.12xlarge,8,0
aws-ec2,intel,0.125,13011.6,aws,compute,96,x86_64,260.35,768,100 Gigabit,3.1,no_equivalent,i3en.24xlarge,8,0
aws-ec2,intel,0.125,1084,aws,compute,8,x86_64,21.7,64,Up to 25 Gigabit,3.1,no_equivalent,i3en.2xlarge,8,0
aws-ec2,intel,0.125,1625.4,aws,compute,12,x86_64,32.54,96,Up to 25 Gigabit,3.1,no_equivalent,i3en.3xlarge,8,0
aws-ec2,intel,0.125,3253.2,aws,compute,24,x86_64,65.09,192,25 Gigabit,3.1,no_equivalent,i3en.6xlarge,8,0
aws-ec2,intel,0.125,271.9,aws,compute,2,x86_64,5.42,16,Up to 25 Gigabit,3.1,no_equivalent,i3en.large,8,0
aws-ec2,intel,0.125,,aws,compute,96,x86_64,260.35,768,100 Gigabit,3.1,no_equivalent,i3en.metal,8,0
aws-ec2,intel,0.125,541.4,aws,compute,4,x86_64,10.85,32,Up to 25 Gigabit,3.1,no_equivalent,i3en.xlarge,8,0
aws-ec2,intel,0.5,9108.1,aws,compute,96,x86_64,113.3,192,100 Gigabit,,no_equivalent,inf1.24xlarge,2,0
aws-ec2,intel,0.5,758.1,aws,compute,8,x86_64,8.69,16,Up to 25 Gigabit,,no_equivalent,inf1.2xlarge,2,0
aws-ec2,intel,0.5,2276.7,aws,compute,24,x86_64,28.32,48,25 Gigabit,,no_equivalent,inf1.6xlarge,2,0
aws-ec2,intel,0.5,378.5,aws,compute,4,x86_64,5.47,8,Up to 25 Gigabit,,no_equivalent,inf1.xlarge,2,0
aws-ec2,intel,0.26666666666666666,237.2,aws,compute,2,x86_64,4.2,7.5,Moderate,,no_equivalent,m1.large,3.75,0
aws-ec2,intel,0.26666666666666666,118.6,aws,compute,1,x86_64,2.09,3.75,Moderate,,no_equivalent,m1.medium,3.75,0
aws-ec2,intel,0.5882352941176471,109,aws,compute,1,x86_64,1.06,1.7,Low,,no_equivalent,m1.small,1.7,0
aws-ec2,intel,0.26666666666666666,472.1,aws,compute,4,x86_64,8.4,15,High,,no_equivalent,m1.xlarge,3.75,0
aws-ec2,intel,0.11695906432748537,620.6,aws,compute,4,x86_64,11.76,34.2,Moderate,,no_equivalent,m2.2xlarge,8.55,0
aws-ec2,intel,0.11695906432748537,1243.5,aws,compute,8,x86_64,23.52,68.4,High,,no_equivalent,m2.4xlarge,8.55,0
aws-ec2,intel,0.11695906432748537,310.3,aws,compute,2,x86_64,5.88,17.1,Moderate,,no_equivalent,m2.xlarge,8.55,0
