gpu,vcpu_memgb_ratio,clock_speed_ghz,daily_price,cloud_service_id,memory_gb,memgb_vcpu_ratio,vcpu,processor_manufacturer,instance_id,architecture,cloud_provider_id,gCO2eq24hs,network,category
0,0.5,3,41.47,aws-ec2,72,2,36,intel,c5d.9xlarge,x86_64,aws,3396.9,10 Gigabit,compute
0,0.5,3,2.3,aws-ec2,4,2,2,intel,c5d.large,x86_64,aws,188.1,Up to 10 Gigabit,compute
0,0.5,3,110.59,aws-ec2,192,2,96,intel,c5d.metal,x86_64,aws,,25 Gigabit,compute
0,0.5,3,4.61,aws-ec2,8,2,4,intel,c5d.xlarge,x86_64,aws,378.5,Up to 10 Gigabit,compute
0,0.375,3,93.31,aws-ec2,192,2.6666666666666665,72,intel,c5n.18xlarge,x86_64,aws,7012.7,100 Gigabit,compute
0,0.38095238095238093,3,10.37,aws-ec2,21,2.625,8,intel,c5n.2xlarge,x86_64,aws,776.1,Up to 25 Gigabit,compute
0,0.38095238095238093,3,20.74,aws-ec2,42,2.625,16,intel,c5n.4xlarge,x86_64,aws,1552.2,Up to 25 Gigabit,compute
0,0.375,3,46.66,aws-ec2,96,2.6666666666666665,36,intel,c5n.9xlarge,x86_64,aws,3504.5,50 Gigabit,compute
0,0.38095238095238093,3,2.59,aws-ec2,5.25,2.625,2,intel,c5n.large,x86_64,aws,194,Up to 25 Gigabit,compute
0,0.375,3,93.31,aws-ec2,192,2.6666666666666665,72,intel,c5n.metal,x86_64,aws,,100 Gigabit,compute
0,0.38095238095238093,3,5.18,aws-ec2,10.5,2.625,4,intel,c5n.xlarge,x86_64,aws,389.3,Up to 25 Gigabit,compute
0,0.5,2.5,39.17,aws-ec2,96,2,48,graviton,c6g.12xlarge,arm64,aws,2344.6,20 Gigabit,compute
0,0.5,2.5,52.22,aws-ec2,128,2,64,graviton,c6g.16xlarge,arm64,aws,3124.5,25 Gigabit,compute
0,0.5,2.5,6.53,aws-ec2,16,2,8,graviton,c6g.2xlarge,arm64,aws,391.8,Up to 10 Gigabit,compute
0,0.5,2.5,13.06,aws-ec2,32,2,16,graviton,c6g.4xlarge,arm64,aws,782.3,Up to 10 Gigabit,compute
0,0.5,2.5,26.11,aws-ec2,64,2,32,graviton,c6g.8xlarge,arm64,aws,1562.3,12 Gigabit,compute
