instance_id,daily_price
m6i.24xlarge,110.59
m6i.2xlarge,9.22
m6i.32xlarge,147.46
m6i.4xlarge,18.43
m6i.8xlarge,36.86
m6i.large,2.30
m6i.xlarge,4.61
p2.16xlarge,345.60
p2.8xlarge,172.80
p2.xlarge,21.60
p3.16xlarge,587.52
p3.2xlarge,73.44
p3.8xlarge,293.76
p3dn.24xlarge,749.09
p4d.24xlarge,786.54
r3.2xlarge,15.96
r3.4xlarge,31.92
r3.8xlarge,63.84
r3.large,3.98
r3.xlarge,7.99
r4.16xlarge,102.14
r4.2xlarge,12.77
r4.4xlarge,25.54
r4.8xlarge,51.07
r4.large,3.19
r4.xlarge,6.38
r5.12xlarge,72.58
r5.16xlarge,96.77
r5.24xlarge,145.15
r5.2xlarge,12.10
r5.4xlarge,24.19
r5.8xlarge,48.38
r5.large,3.02
r5.metal,145.15
r5.xlarge,6.05
r5a.12xlarge,65.09
r5a.16xlarge,86.78
r5a.24xlarge,130.18
r5a.2xlarge,10.85
r5a.4xlarge,21.70
r5a.8xlarge,43.39
r5a.large,2.71
r5a.xlarge,5.42
r5ad.12xlarge,75.46
r5ad.16xlarge,100.61
r5ad.24xlarge,150.91
r5ad.2xlarge,12.58
r5ad.4xlarge,25.15
r5ad.8xlarge,50.30
r5ad.large,3.14
r5ad.xlarge,6.29
r5b.12xlarge,85.82
r5b.16xlarge,114.43
r5b.24xlarge,171.65
r5b.2xlarge,14.30
r5b.4xlarge,28.61
r5b.8xlarge,57.22
r5b.large,3.58
r5b.metal,171.65
r5b.xlarge,7.15
r5d.12xlarge,82.94
r5d.16xlarge,110.59
r5d.24xlarge,165.89
r5d.2xlarge,13.82
r5d.4xlarge,27.65
r5d.8xlarge,55.30
r5d.large,3.46
r5d.metal,165.89
r5d.xlarge,6.91
r5dn.12xlarge,96.19
r5dn.16xlarge,128.26
r5dn.24xlarge,192.38
r5dn.2xlarge,16.03
r5dn.4xlarge,32.06
r5dn.8xlarge,64.13
r5dn.large,4.01
r5dn.metal,192.38
r5dn.xlarge,8.02
r5n.12xlarge,85.82
r5n.16xlarge,114.43
r5n.24xlarge,171.65
r5n.2xlarge,14.30
r5n.4xlarge,28.61
r5n.8xlarge,57.22
r5n.large,3.58
r5n.metal,171.65
r5n.xlarge,7.15
r6g.12xlarge,58.06
r6g.16xlarge,77.41
r6g.2xlarge,9.68
r6g.4xlarge,19.35
r6g.8xlarge,38.71
r6g.large,2.42
r6g.medium,1.21
r6g.metal,77.41
r6g.xlarge,4.84
r6gd.12xlarge,66.36
r6gd.16xlarge,88.47
r6gd.2xlarge,11.06
r6gd.4xlarge,22.12
r6gd.8xlarge,44.24
r6gd.large,2.76
r6gd.medium,1.38
r6gd.metal,88.47
r6gd.xlarge,5.53
t1.micro,0.48
t2.2xlarge,8.91
t2.large,2.23
t2.medium,1.11
t2.micro,0.28
t2.nano,0.14
t2.small,0.55
t2.xlarge,4.45
t3.2xlarge,7.99
t3.large,2.00
t3.medium,1.00
t3.micro,0.25
t3.nano,0.12
t3.small,0.50
t3.xlarge,3.99
t3a.2xlarge,7.22
t3a.large,1.80
t3a.medium,0.90
t3a.micro,0.23
t3a.nano,0.11
t3a.small,0.45
t3a.xlarge,3.61
t4g.2xlarge,6.45
t4g.large,1.61
t4g.medium,0.81
t4g.micro,0.20
t4g.nano,0.10
t4g.small,0.40
t4g.xlarge,3.23
x1.16xlarge,160.06
x1.32xlarge,320.11
x1e.16xlarge,320.26
x1e.2xlarge,40.03
x1e.32xlarge,640.51
x1e.4xlarge,80.06
x1e.8xlarge,160.13
x1e.xlarge,20.02
x2gd.12xlarge,96.19
x2gd.16xlarge,128.26
x2gd.2xlarge,16.03
x2gd.4xlarge,32.06
x2gd.8xlarge,64.13
x2gd.large,4.01
x2gd.medium,2.00
x2gd.metal,128.26
x2gd.xlarge,8.02
z1d.12xlarge,107.14
z1d.2xlarge,17.86
z1d.3xlarge,26.78
z1d.6xlarge,53.57
z1d.large,4.46
z1d.metal,107.14
z1d.xlarge,8.93
