instance_id,gCO2eq24hs
m6i.32xlarge,10534.8
m6i.4xlarge,1317.5
m6i.8xlarge,2632.5
m6i.large,164.1
m6i.xlarge,329.4
p2.16xlarge,52319.4
p2.8xlarge,26744
p2.xlarge,3342.3
p3.16xlarge,28945.3
p3.2xlarge,3617.9
p3.8xlarge,14473.9
p3dn.24xlarge,35044.1
p4d.24xlarge,48529.5
r3.2xlarge,1018.3
r3.4xlarge,2034.1
r3.8xlarge,4067.1
r3.large,252.8
r3.xlarge,509.1
r4.16xlarge,6222.7
r4.2xlarge,777.4
r4.4xlarge,1556
r4.8xlarge,3113.2
r4.large,194
r4.xlarge,388.1
r5.12xlarge,6228
r5.16xlarge,8302.4
r5.24xlarge,12454.8
r5.2xlarge,1038.4
r5.4xlarge,2075.6
r5.8xlarge,4152.4
r5.large,259.9
r5.xlarge,519.8
r5a.12xlarge,4864.2
r5a.16xlarge,6483.6
r5a.24xlarge,9727.1
r5a.2xlarge,810.9
r5a.4xlarge,1620.6
r5a.8xlarge,3243.6
r5a.large,202.4
r5a.xlarge,406
r5ad.12xlarge,5003.4
r5ad.16xlarge,6670.8
r5ad.24xlarge,10005.5
r5ad.2xlarge,832.5
r5ad.4xlarge,1668.6
r5ad.8xlarge,3334.8
r5ad.large,207.2
r5ad.xlarge,418
r5b.12xlarge,5203
r5b.16xlarge,6936.2
r5b.24xlarge,10404.8
r5b.2xlarge,868.4
r5b.4xlarge,1733.1
r5b.8xlarge,3468.7
r5b.large,216.8
r5b.xlarge,433.6
r5d.12xlarge,5342.2
r5d.16xlarge,7123.4
r5d.24xlarge,10683.2
r5d.2xlarge,890
r5d.4xlarge,1781.1
r5d.8xlarge,3559.9
r5d.large,221.6
r5d.xlarge,445.6
r5dn.12xlarge,5342.2
r5dn.16xlarge,7123.4
r5dn.24xlarge,10683.2
r5dn.2xlarge,890
r5dn.4xlarge,1781.1
r5dn.8xlarge,3559.9
r5dn.large,221.6
r5dn.xlarge,445.6
r5n.12xlarge,5203
r5n.16xlarge,6936.2
r5n.24xlarge,10404.8
r5n.2xlarge,868.4
r5n.4xlarge,1733.1
r5n.8xlarge,3468.7
r5n.large,216.8
r5n.xlarge,433.6
r6g.12xlarge,4000
r6g.16xlarge,5333.3
r6g.2xlarge,667.3
r6g.4xlarge,1333.3
r6g.8xlarge,2666.6
r6g.large,166.5
r6g.medium,83.9
r6g.xlarge,334.2
r6gd.12xlarge,4105.6
r6gd.16xlarge,5472.5
r6gd.2xlarge,684.1
r6gd.4xlarge,1369.3
r6gd.8xlarge,2736.2
r6gd.large,171.3
r6gd.medium,86.3
r6gd.xlarge,341.4
ra3.16xlarge,5915.8
ra3.4xlarge,1479.6
t1.micro,110.2
t2.2xlarge,616.9
t2.large,154.5
t2.medium,171.3
t2.micro,80.3
t2.nano,77.9
t2.small,85.1
t2.xlarge,309
t3.2xlarge,770.1
t3.large,192.8
t3.medium,162.9
t3.micro,141.3
t3.nano,137.8
t3.small,148.5
t3.xlarge,383.3
t3a.2xlarge,626.4
t3a.large,156.9
t3a.medium,137.8
t3a.micro,123.4
t3a.nano,121
t3a.small,128.2
t3a.xlarge,312.6
t4g.2xlarge,482.8
t4g.large,121
t4g.medium,101.8
t4g.micro,87.5
t4g.nano,85.1
t4g.small,92.3
t4g.xlarge,240.8
x1.16xlarge,9389.4
x1.32xlarge,18780
x1e.16xlarge,15004.7
x1e.2xlarge,1876.9
x1e.32xlarge,30008.3
x1e.4xlarge,3750.3
x1e.8xlarge,7503
x1e.xlarge,936.7
x2gd.12xlarge,6314.3
x2gd.16xlarge,8419.1
x2gd.2xlarge,1053
x2gd.4xlarge,2104.8
x2gd.8xlarge,4209.5
x2gd.large,262.3
x2gd.medium,131.8
x2gd.xlarge,525.9
z1d.12xlarge,8813
z1d.2xlarge,1468.4
z1d.3xlarge,2203.9
z1d.6xlarge,4406.5
z1d.large,367.7
z1d.xlarge,735.4
